Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Leblebicioglu, Asli",,,,,,ECON,4362,001,1,2,2,6,6,3,1,3,,1,,,,,,,,,1,axl128330,,Development Economics 
"Goffman, Lisa A",,,,,,COMD,7V82,001,,11,1,,,,,,,,,,1,,,,,,0,lag160930,,Special Topics in Communication Disorders 
"Sandler, Todd E","Arce, Daniel G","Andrews, Rodney J",,,,ECON,6363,001,,2,1,1,2,,,1,,,,,,,,,,,0,tms063000,todd sandler,Public Economics I 
"Ewing, Donna M",,,,,,HDCD,6315,002,,9,2,,,,,,,,,,,,,,,,0,dme061000,donna ewing,Assessment Theory 
"Akbar, Mohammad M",,,,,,MATH,2413,020,4,5,5,3,7,3,3,2,3,2,1,2,7,,,,,,1,mma110020,mohammad akbar,Differential Calculus 
"Malik, Arif","Yu, Haoliang",,,,,MECH,3380,001,,13,6,9,12,3,5,7,,,1,2,,,,,,,0,axm154531,arif malik,Introduction to Computational Design and Analysis 
"Bradbury, Judd D","Khandelwal, Ashish","Solanki, Rom Prakash",,,,ITSS,4351,001,6,2,1,1,3,3,,1,1,,,,2,,,,,,0,jdb101000,judd bradbury,Foundations of Business Intelligence 
"Henderson, Tom",,,,,,BA,1100,013,,24,3,,3,,,3,,,4,,3,,,,,,1,txh093000,tom henderson,Business Basics 
"McCrady, Victoria D",,,,,,BA,1100,014,16,2,2,3,2,,,4,3,1,2,,6,,,,,,1,vdm130030,victoria mccrady,Business Basics 
"Deignan, Paul B",,,,,,CS,3341,502,2,5,2,3,6,6,3,3,,,3,,3,,,,,,9,pbd130130,paul deignan,Probability and Statistics in Computer Science and Software Engineering 
"Tran, Anh T",,,,,,MATH,2414,002,1,5,3,4,2,1,3,5,6,1,,3,9,,,,,,5,att140830,anh tran,Integral Calculus 
"Ahsan, Mohammad K",,,,,,MATH,2417,015,10,1,2,3,2,2,2,2,7,,1,,5,,,,,,1,mka120030,mohammad ahsan,Calculus I 
"Dahal, Rabin",,,,,,MATH,2417,016,15,3,2,6,3,2,2,1,3,,,,5,,,,,,3,rxd153030,rabin dahal,Calculus I 
"Arnold, Maxim",,,,,,MATH,2418,007,6,6,5,6,9,6,7,3,6,2,1,,3,,,,,,5,mxa149530,maxim arnold,Linear Algebra 
"Dahal, Rabin",,,,,,MATH,2418,008,5,9,6,5,9,4,4,2,1,3,,1,7,,,,,,4,rxd153030,rabin dahal,Linear Algebra 
"Kim, Moon J",,,,,,MSEN,6340,001,,2,3,5,,,,,,,,,,,,,,,0,mjk034000,,Introduction to Electron Microscopy 
"Rachinskiy, Dmitry",,,,,,MATH,2420,004,8,11,17,12,5,6,4,4,6,5,3,,2,,,,,,3,dxr124030,dmitry rachinskiy,Differential Equations with Applications 
"Walker, Amy V",,,,,,MSEN,5361,001,,1,2,10,2,,,,,,,,1,,,,,,1,axw092000,,Fundamentals of Surface and Thin Film Analysis 
"Deignan, Paul B",,,,,,SE,3341,502,,,2,,1,,1,5,,,,,,,,,,,3,pbd130130,paul deignan,Probability and Statistics in Computer Science and Software Engineering 
"Wright, Ben",,,,,,HIST,2330,HN1,1,17,2,,2,,,,,,,,,,,,,,1,bxw151330,ben wright,Themes and Ideas in American History 
"Riccio, Thomas P",,,,,,ARTS,1301,HN1,,11,9,2,3,,,,,,,,,,,,,,0,txr033000,thomas riccio,Exploration of the Arts 
"Lingo, Kathy A",,,,,,THEA,1310,HN1,7,15,,1,,,,,,,,,1,,,,,,0,klingo,kathy lingo,Understanding Theatre 
"Kim, Dohyeong",,,,,,GISC,4384,001,4,7,3,3,,2,,,,,,,1,,,,,,0,dxk132530,dohyeong kim,Health and Environmental GIS  A Global Perspective 
"Gearey, Wayne",,,,,,GISC,6382,001,,7,1,,,,,,,,,,,,,,,,0,wxg130930,wayne gearey,Applied Geographic Information Systems 
"Assmann, Peter","Montazeri, Vahid",,,,,ACN,6389,601,,3,7,,1,2,,,,,,,,,,,,,0,assmann,peter assmann,Speech Perception Laboratory 
"Chida, Anjum","Qin, Xi",,,,,CS,6375,003,,24,4,,,,,,,,,,,,,,,,1,axc157030,anjum chida,Machine Learning 
"Diehl, Paul",,,,,,PSCI,4396,001,,3,3,5,6,5,1,1,,,,,,,,,,,1,pxd153230,paul diehl,Selected Topics in Government and Politics 
"Holmes, Jennifer","Saucedo De La Fuente, David",,,,,PSCI,4348,001,3,17,6,9,4,4,3,4,,,,,4,,,,,,4,jholmes,jennifer holmes,Terrorism 
"Lowry, Robert C",,,,,,PSCI,6324,001,,2,1,1,3,,,,,,,,,,,,,,0,rcl062000,robert lowry,Local and State Government and Politics 
"Peinhardt, Clint W",,,,,,PSCI,6316,001,,7,4,3,1,3,,,,,,,,,,,,,0,cwp052000,clint peinhardt,International Organizations 
"Stewart, Marianne","Dzanie, Raphael K",,,,,IPEC,4376,001,,,,2,8,,,1,,1,,,1,,,,,,0,mstewart,marianne stewart,Foreign Policy and Public Opinion 
"Brunell, Thomas","Gathman, Adrienne E",,,,,PSCI,4344,001,2,10,12,5,4,2,4,8,3,2,4,,4,,,,,,0,tlb056000,thomas brunell,Race and Redistricting 
"Bunte, Jonas B","Taden, John",,,,,IPEC,4302,001,12,9,9,4,4,,,,1,1,,2,,,,,,,4,jbb130330,jonas bunte,Political Economy of Developing Countries 
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,3100,003,14,17,5,,3,,,,,,,,1,,,,,,1,kal110030,kristen lawson,Professional Development 
"de los Santos, Veronica",,,,,,BCOM,3100,004,4,8,3,3,1,1,,,1,,,,3,,,,,,1,vxd171930,veronica de los santos,Professional Development 
"McCrady, Victoria D",,,,,,BA,3200,001,17,10,4,,2,4,1,,,,1,,2,,,,,,0,vdm130030,victoria mccrady,Introduction to Business Professional Development and Business Communication 
"Moore, Sarah E","O'Dell, Daniel A",,,,,BA,3200,002,2,16,11,2,5,2,,1,,,1,,,,,,,,0,sem054000,sarah moore,Introduction to Business Professional Development and Business Communication 
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BA,3200,003,6,15,8,2,3,,,2,1,,1,,2,,,,,,0,kxl164330,kathryn lookadoo,Introduction to Business Professional Development and Business Communication 
"Moore, Sarah E","O'Dell, Daniel A",,,,,BA,3200,004,,14,13,7,4,3,,,,,,,,,,,,,0,sem054000,sarah moore,Introduction to Business Professional Development and Business Communication 
"Moore, Sarah E","O'Dell, Daniel A",,,,,FIN,3200,001,2,19,9,4,2,,1,,,,,,,,,,,,0,sem054000,sarah moore,Introduction to Business Professional Development and Business Communication 
"Lookadoo, Kathryn","McDonald, Jared M",,,,,FIN,3200,002,5,12,7,5,2,3,,1,,,1,,3,,,,,,0,kxl164330,kathryn lookadoo,Introduction to Business Professional Development and Business Communication 
"Newcomb, Rebecca G",,,,,,BCOM,3200,001,15,7,1,4,2,4,2,1,3,,,,1,,,,,,0,rgn100020,rebecca newcomb,Introduction to Business Professional Development and Business Communication 
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,3200,501,19,8,5,1,2,,3,,,1,,1,,,,,,,0,kal110030,kristen lawson,Introduction to Business Professional Development and Business Communication 
"Smallwood, James E",,,,,,BCOM,3200,502,17,8,8,,,1,,,,,,1,5,,,,,,0,jes094020,james smallwood,Introduction to Business Professional Development and Business Communication 
"Watson, John M",,,,,,BCOM,3200,5E1,6,6,2,,3,,,2,,,,,1,,,,,,0,jmw077000,john watson,Introduction to Business Professional Development and Business Communication 
"Walton, Michaella",,,,,,MKT,3200,001,,4,8,6,5,2,,3,2,,,1,,,,,,,0,mrw170730,,Introduction to Business Professional Development and Business Communication 
"Watson, John M",,,,,,MKT,3200,002,4,7,2,,2,2,1,,1,,,,1,,,,,,1,jmw077000,john watson,Introduction to Business Professional Development and Business Communication 
"Manzi, Jeff","Chen, Chen",,,,,FIN,4390,001,1,6,2,1,7,1,,,,,,,,,,,,,0,jxm158130,jeffrey manzi,Seminar Series in Finance 
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,002,1,13,3,5,12,4,4,9,3,1,4,2,3,,,,,,2,tabortz,tiffany bortz,Intermediate Financial Accounting II 
"Bowen, Richard M","Cheney, Michael P",,,,,ACCT,4336,001,3,4,9,5,10,9,8,2,1,1,,,1,,,,,,0,rxb073100,richard bowen,Financial Statement Analysis 
"Guler, Lale",,,,,,ACCT,6334,002,,12,1,2,1,,,1,,,,,,,,,,,0,lxg152230,lale guler,Auditing 
"Bowen, Richard M","Cheney, Michael P",,,,,ACCT,6344,001,,24,14,4,1,3,,,,,,,,,,,,,0,rxb073100,richard bowen,Financial Statement Analysis 
"Sohaee, Nassim","Sainathan, Srinivas","Ranabothu, Kavya",,,,ITSS,3311,001,,11,5,5,8,2,5,1,1,,1,,4,,,,,,2,nxs045000,nassim sohaee,Introduction to Programming 
"Narayanasami, Priya","Ranabothu, Kavya",,,,,ITSS,3311,002,9,5,5,9,4,7,2,1,2,1,1,,1,,,,,,0,pxn173330,priya narayanasami,Introduction to Programming 
"Saifee, Danish H",,,,,,ITSS,3311,003,4,9,9,8,5,2,1,2,1,,,1,2,,,,,,1,dxs121230,danish saifee,Introduction to Programming 
"Amirpour, Semiramis",,,,,,MKT,3330,005,2,4,7,2,4,3,1,2,2,1,,1,1,,,,,,0,sxa130731,semiramis amirpour,Introduction to Professional Selling 
"Haruvy, Ernan E","Kaur, Harpreet",,,,,MKT,6337,001,,1,1,1,5,1,1,,,,,,,,,,,,0,eeh017200,ernan haruvy,Predictive Analytics Using SAS 
"Green, Kevin",,,,,,FIN,3330,003,4,24,,5,16,,6,2,,1,,,1,,,,,,0,kxg122730,kevin green,Personal Financial Planning 
"Kaplan, Larry S",,,,,,FIN,3370,002,2,7,12,6,2,3,1,,1,1,,,,,,,,,1,lsk140130,larry kaplan,Principles of Risk Management and Insurance 
"Zentner, Alejandro","Nguyen, Hang M",,,,,MECO,6303,002,,20,11,11,10,1,2,,,,,,,,,,,,1,axz051000,alejandro zentner,Business Economics 
"Zentner, Alejandro","Nguyen, Hang M",,,,,MECO,6303,005,,11,9,25,9,3,1,,,,,,,,,,,,0,axz051000,alejandro zentner,Business Economics 
"Jackson, Kevin",,,,,,PSY,1100,009,31,1,5,,,2,,1,,,,,,,,,,,0,kxj162930,kevin jackson,First Year Seminar 
"Raghavachari, Balaji",,,,,,CS,6301,502,,22,34,15,47,5,1,,,,,,1,,,,,,0,rbk,balaji raghavachari,Special Topics in Computer Science 
"Chandrasekaran, Ramaswamy","De, Partha",,,,,CS,6363,006,,17,10,15,16,4,1,,,,,,1,,,,,,0,chandra,ramaswamy chandrasekaran,Design and Analysis of Computer Algorithms 
"Chandrasekaran, Ramaswamy","Shah, Swair Rajesh",,,,,CS,6301,004,,14,4,1,1,2,,,,,,,,,,,,,0,chandra,ramaswamy chandrasekaran,Special Topics in Computer Science 
"Ohsawa, Tomoki",,,,,,MATH,6331,501,,5,1,1,1,,1,,,,,,1,,,,,,0,txo140730,tomoki ohsawa,Mathematics of Signals  Systems  and Controls 
"Pereira, Luis Felipe F",,,,,,MATH,6342,001,,5,,,2,,,3,,,,,,,,,,,0,lfp140030,luis pereira,Scientific Computing 
"Eydelzon, Anatoly",,,,,,MATH,5390,001,,9,,,,,,,,,,,,,,,,,1,axe031000,anatoly eydelzon,Topics in Mathematics - Level 5 
"Moller, Aage R",,,,,,NSC,4V90,002,,9,,2,1,,,,,,,,,,,,,,0,amoller,aage moller,Special Topics in Neuroscience 
"Ploski, Jonathan E",,,,,,NSC,4362,001,3,15,3,2,3,2,3,2,2,,1,,3,,,,,,2,jep101000,jonathan ploski,Molecular Neuroscience 
"Lu, Hongbing","Rostami, Saman",,,,,MECH,2120,102,3,9,7,3,,,,,,,,,,,,,,,0,hxl101000,hongbing lu,Mechanics of Materials Laboratory 
"Miller, Van S",,,,,,NSC,4V90,001,10,2,,3,2,1,1,1,,,1,,,,,,,,0,vxm077000,van miller,Special Topics in Neuroscience 
"McWilliams, Steven P","Wangzhou, Andi",,,,,NSC,3361,004,1,8,12,10,5,7,3,7,10,6,5,3,13,,,,,,4,sxm127330,steven mcwilliams,Introduction to Neuroscience 
"Minary-Jolandan, Majid","Morsali, Seyedreza",,,,,MECH,2320,002,9,7,7,7,7,7,4,7,,,3,,1,,,,,,0,mxm124631,majid minary,Mechanics of Materials 
"Choi, Wonjae","Santhanagopalan, Vignesh",,,,,MECH,3115,104,3,10,3,1,,1,,,,,,,,,,,,,0,wxc111930,wonjae choi,Fluid Mechanics Laboratory 
"Choi, Wonjae","Balachandran, Balasubramaniam","LeClear, Johnathon D",,,,MECH,3115,105,9,9,,,,,,,,,,,,,,,,,0,wxc111930,wonjae choi,Fluid Mechanics Laboratory 
"Hassanipour, Fatemeh","Jiang, Lin","Wang, Xiaomeng",,,,MECH,3120,105,1,11,5,,1,,,,,,,,,,,,,,0,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
"Park, Wooram",,,,,,MECH,6309,001,,6,5,3,3,,1,,,,,,,,,,,,0,wxp103020,wooram park,Intermediate Dynamics 
"Lu, Hongbing",,,,,,MECH,6306,001,,9,5,1,3,,,,,,,,,,,,,,0,hxl101000,hongbing lu,Continuum Mechanics 
"Bernal Montoya, Rodrigo A","Karim, Mohammad R",,,,,MECH,6354,001,,5,5,12,9,,,,,,,,,,,,,,0,rab160530,rodrigo bernal,Experimental Mechanics 
"You, Seung M",,,,,,MECH,7100,001,,,,,,,,,,,,,,,,,,21,0,smy130030,seung you,Seminar in Mechanical Engineering 
"Zhang, Jie","Sun, Mucun",,,,,MECH,6318,501,,15,11,,9,2,,2,,,,,1,,,,,,1,jxz156730,jie zhang,Engineering Optimization 
"Li, Ningzhong","Song, Dongye",,,,,ACCT,6305,003,,13,13,13,6,6,,,,,,,1,,,,,,1,nxl124130,ningzhong li,Accounting for Managers 
"Zhang, Yuan","Chu, Yu Fang",,,,,ACCT,6330,002,,23,,1,12,3,3,2,,,,,,,,,,,0,yxz122931,yuan zhang,Intermediate Financial Accounting I 
"Solcher, Steven J","Nguyen, Ploysirin K",,,,,ACCT,6353,001,,25,17,11,3,1,,,,,,,1,,,,,,0,sjs107020,steven solcher,Fundamentals of Taxation II 
"Roy Bardhan, Anindita","Albritton, Jason M",,,,,HMGT,3311,002,,2,5,2,1,,4,1,,,5,,,,,,,,1,axb149330,anindita bardhan,Healthcare Accounting 
"Guttery, Randall",,,,,,REAL,3305,002,2,3,,,5,,,5,,,4,,4,,,,,,0,rxg112530,randall guttery,Real Estate Principles 
"Schweitzer, Haim","Shah, Swair Rajesh","He, Baokun",,,,CS,6301,006,,33,20,8,14,2,,,,,,,,,,,,,0,haim,haim schweitzer,Special Topics in Computer Science 
"Filbey, Francesca M",,,,,,ACN,6395,002,,18,,,1,,,,,,,,,,,,,,2,fxf013100,francesca filbey,Cognitive Psychology 
"Filbey, Francesca M",,,,,,PSYC,6395,002,,2,,,3,,,1,,,,,,,,,,,0,fxf013100,francesca filbey,Cognitive Psychology 
"Haruvy, Ernan E","Kaur, Harpreet",,,,,BUAN,6337,001,,11,8,4,11,6,1,3,,,,,1,,,,,,0,eeh017200,ernan haruvy,Predictive Analytics Using SAS 
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6301,0W2,,11,11,11,2,5,5,,,,,,,,,,,,0,axb019100,abhijit biswas,Marketing Management 
"Thompson, Luell O",,,,,,OPRE,6390,0W1,,5,,,2,,,1,,,,,,,,,,,0,lot013000,luell thompson,Enterprise Resource Planning 
"Minden, Alixandre R",,,,,,OPRE,6335,001,,3,7,4,2,,,,,,,,,,,,,,0,arm130430,minden alixandre,Risk and Decision Analysis 
"Stewart, Marianne","Dzanie, Raphael K",,,,,PSCI,4376,001,1,,,7,5,,3,1,2,1,,1,1,,,,,,1,mstewart,marianne stewart,Foreign Policy and Public Opinion 
"Gupta, Neeraj K","Malik, Hemant",,,,,CS,6353,501,,7,3,1,,,,,,,,,,,,,,,0,nkg140130,neeraj gupta,Compiler Construction 
"D'Orazio, Vito","Islam, Iftekhairul",,,,,PSCI,4302,001,1,4,8,6,8,5,3,4,1,,2,,1,,,,,,1,vxd152030,vito dorazio,Data and Policy 
"Friedman, Joseph S","Nahar, Lubaba M",,,,,CE,3101,106,,2,,,6,,,,1,,,,1,,,,,,0,jsf160330,joseph friedman,Electrical Network Analysis Laboratory 
"Rosen, Mark S","Brunetti, Francesca",,,,,AHST,3315,001,2,19,12,11,5,2,2,2,,,,,5,,,,,,1,mxr088000,mark rosen,The Art of the Renaissance 
"Terranova, Charissa",,,,,,AHST,3319,001,2,15,5,5,8,4,,2,2,,1,,4,,,,,,0,cxt074100,charissa terranova,Twentieth Century European Art  Avant-Garde and Aftermath 
"Gossin, Pamela",,,,,,ARHM,3342,003,5,6,6,3,8,1,1,,1,2,,,6,,,,,,1,psgossin,pamela gossin,Advanced Interdisciplinary Studies in the Arts and Humanities 
"Barnes, Ashley",,,,,,ARHM,3342,501,2,11,5,6,2,,1,1,,,1,,6,,,,,,1,axb162631,ashley barnes,Advanced Interdisciplinary Studies in the Arts and Humanities 
"Brown-Pearn, Spencer S",,,,,,ARTS,3340,002,6,11,,,,,,,,,,,,,,,,,0,ssb062000,spencer brown pearn,Topics in Studio Art 
"Polite, Giraud",,,,,,ARTS,3372,501,18,,,,,,,,,,,,1,,,,,,0,gpolite,,Photography  Color 
"Durant, Stephanie D",,,,,,ARTS,4308,001,1,6,7,4,,,,,,,1,,,,,,,,0,ddm043000,,Image Text 
"Pomara, John",,,,,,ARTS,4368,001,3,9,,,,,,,,,,,,,,,,,0,pomara,john pomara,Advanced Visual Arts 
"Chen, Bei",,,,,,CHIN,1301,001,7,3,1,,2,,,,,,,,,,,,,,0,bxc152730,bei chen,Beginning Business Chinese I 
"Dorough, Ramona J",,,,,,COMM,1311,510,5,3,2,1,4,1,1,4,,1,,,1,,,,,,0,rjd140130,ramona dorough,Survey of Oral and Technology-based Communication 
"Totusek, Patricia F",,,,,,COMM,1311,5W4,5,6,5,3,,,,1,,,,1,1,,,,,,1,pft140030,patricia totusek,
"Schlobohm, Maribeth L",,,,,,COMM,3342,001,4,12,2,1,8,1,,,1,,,,,,,,,,0,mls077000,maribeth (betsy) schlobohm,Advanced Topics in Communication 
"Baker, Barbara L",,,,,,COMM,3351,001,,2,1,1,1,4,2,3,1,,,,1,,,,,,2,blb140430,barbara baker,History and Theory of Communication 
"King, Carie S",,,,,,COMM,4314,001,5,6,1,2,,2,,,2,,,1,4,,,,,,1,cxl085200,carie king,Persuasion and Interpersonal Influence 
"Schulze, Jeffrey","Ye, Huiping",,,,,HIST,1301,012,,7,7,4,22,12,8,13,3,2,2,1,4,,,,,,4,jxs072200,jeffrey schulze,U S  History Survey to Civil War 
"Volanto, Keith J","Armentrout, Kenneth C",,,,,HIST,1301,501,,21,,1,19,6,1,14,,2,10,1,12,,,,,,1,kjv062000,keith volanto,U S  History Survey to Civil War 
"Burnett, Lora D","Varghese, Shawn",,,,,HIST,1301,502,11,24,6,12,13,7,4,3,,1,1,,2,,,,,,2,ldb082000,lora burnett,U S  History Survey to Civil War 
"Gray, Megan L",,,,,,ARHM,1100,301,,4,,,4,,,3,,,1,,4,,,,,,0,mlg105020,megan gray,Freshman Seminar 
"Ferguson, Wesley A",,,,,,THEA,1310,001,3,26,11,5,1,,1,,1,,,,,,,,,,0,waf061000,wesley ferguson,Understanding Theatre 
"Ferguson, Wesley A",,,,,,THEA,1310,002,1,39,2,2,3,1,,,,,,,,,,,,,1,waf061000,wesley ferguson,Understanding Theatre 
"Baig, Maryam O",,,,,,THEA,1310,501,,42,,,1,,,1,,,,,1,,,,,,2,baig,maryam baig,Understanding Theatre 
"Hennigan, Edward B",,,,,,THEA,1351,501,2,6,9,2,,,,,1,,,,1,,,,,,0,ebh062000,edward hennigan,Acting 1 
"Lingo, Kathy A",,,,,,THEA,2372,001,,21,1,,,,,,,,,,2,,,,,,0,klingo,kathy lingo,Improvisation 
"Lingo, Kathy A",,,,,,THEA,2372,002,,5,2,3,,,,,,,,,,,,,,,0,klingo,kathy lingo,Improvisation 
"Hibbs, Shelby A",,,,,,THEA,3310,501,2,11,2,,,,,,,,,,,,,,,,0,sah140730,shelby hibbs,Theatre Performance Ensemble 
"Hibbs, Shelby A",,,,,,THEA,3323,501,1,4,4,6,5,1,,3,,,,,,,,,,,1,sah140730,shelby hibbs,Performance in Historical Context 
"Hibbs, Shelby A",,,,,,THEA,3325,001,,6,1,,3,,,,,,,,,,,,,,0,sah140730,shelby hibbs,Directing 
"Lingo, Kathy A",,,,,,THEA,3372,501,,15,1,,,,,,,,,,1,,,,,,0,klingo,kathy lingo,Advanced Improvisation 
"Curchack, Fred",,,,,,THEA,4301,501,4,5,,1,,2,,,,,,,,,,,,,0,curchack,fred curchack,Acting for Film and Video 
"Warren, Shilyh J",,,,,,FILM,3325,001,3,4,4,2,,,1,1,1,,,1,1,,,,,,0,sjw120030,shilyh warren,Film Authorship 
"Wilson, Michael",,,,,,HIST,3320,001,,12,8,8,6,4,2,,,,,,3,,,,,,3,mwilson,michael wilson,Modern Europe 
"Foust, Kristan N",,,,,,HIST,3387,501,4,1,1,4,2,4,1,3,2,2,,3,10,,,,,,2,kef170230,,World History from 1500 
"Rankin, Monica A","Kirk, Stacie L",,,,,HIST,3398,001,1,24,4,1,8,,,1,,,1,,2,,,,,,2,mar046000,monica rankin,Colonial Latin American History 
"Pfister, Debra H",,,,,,HIST,4330,001,6,10,11,5,6,5,1,,,,,,4,,,,,,0,dhpf,debra pfister,The Holocaust 
"Hill, Kimberly D",,,,,,HIST,4357,501,6,3,8,2,1,2,,,,,,,1,,,,,,0,kdh140430,kimberly hill,Topics in African and African-American History 
"Heinz, Annelise M",,,,,,HIST,4378,001,,7,7,4,5,3,1,1,1,,,,6,,,,,,1,amh150930,annelise heinz,Topics in American History 
"Pomara, John",,,,,,HUAS,6339,001,,13,,,,,,,,,,,,,,,,,0,pomara,john pomara,Painting Digital Imaging Video 
"Riccio, Thomas P",,,,,,HUAS,6392,001,,4,2,1,1,,,,,,,,,,,,,,0,txr033000,thomas riccio,Creativity  Image Text Workshop 
"Terranova, Charissa",,,,,,HUAS,7380,501,,4,2,,,,,,,,,,,,,,,,0,cxt074100,charissa terranova,Advanced Topics in Aesthetic Studies 
"Roemer, Nils H",,,,,,HUHI,6313,001,,9,,,,,,,,,,,,,,,,,0,nhr061000,nils roemer,Thought  Culture  and Society in Europe 
"Channell, David",,,,,,HUHI,6313,002,,6,,1,1,,,,,,,,,,,,,,0,channell,david channell,Thought  Culture  and Society in Europe 
"Hill, Kimberly D",,,,,,HUHI,6314,001,,5,1,,1,,,,,,,,,,,,,,1,kdh140430,kimberly hill,Thought  Culture  and Society in the United States 
"Roemer, Nils H",,,,,,HUHI,6320,001,,9,1,,,,,,,,,,,,,,,,0,nhr061000,nils roemer,Perceptions of the Past 
"Patterson, David",,,,,,HUHI,7314,501,,4,,1,2,,,1,,,,,,,,,,,0,dxp103120,david patterson,Advanced Topics in European Thought  Culture  and Society 
"Brown, Matthew",,,,,,HUHI,7387,001,,2,2,1,1,,,,,,,,,,,,,,0,mxb091000,matthew brown,Science and Technology in Western Culture 
"Scotch, Richard",,,,,,PPPE,6350,001,,6,,1,,,,,,,,,,,,,,,0,scotch,richard scotch,Social Stratification 
"King, Carie S",,,,,,COMM,4375,PAC,8,11,1,,,,,,,,,,,,,,,,0,cxl085200,carie king,Professional Communication in Medicine 
"Akins, Emily",,,,,,ARHM,1100,302,,4,,,5,,,2,,,,,1,,,,,,0,exa160630,,Freshman Seminar 
"Vidyasagar, Mathukumalli","Yurkovich, Stephen","Pyne, Moinak",,,,SYSM,6305,001,,6,3,1,3,1,,,,,,,,,,,,,0,mxv091000,mathukumalli vidyasagar,Optimization Theory and Practice 
"Gu, Ming D",,,,,,HUSL,6316,001,,7,2,2,,,,,,,,,1,,,,,,0,mdg073000,ming dong gu,Critical Theory  Major Schools 
"Murphy, Jessica C",,,,,,HUSL,6348,001,,7,5,2,2,,,,,,,,,,,,,,0,jxm092000,jessica murphy,Women in Early Modern Literature 
"Cotter, Sean J",,,,,,HUSL,6381,001,,6,2,1,1,,,,,,,,,,,,,,0,sjc010100,sean cotter,Critical Approaches to Translation 
"Hatfield, Charles D",,,,,,HUSL,6398,501,,12,2,,,,,,,,,,,,,,,,0,cxh074100,charles hatfield,World Literatures 
"Schulte, Rainer",,,,,,HUSL,7322,501,,6,,,,,,,,,,,,,,,,,0,schulte,rainer schulte,Advanced Translation Workshop 
"Cohen, Milton",,,,,,HUSL,7360,001,,2,1,3,,1,1,,,,,,,,,,,,0,mcohen,milton cohen,Advanced Studies in Twentieth Century Literature 
"Saar Hambazaza, Terje",,,,,,LIT,2331,502,3,4,2,1,,1,1,4,,1,2,1,1,,,,,,0,txs018600,terje saar hambazaza,Masterpieces of World Literature 
"Biswas, Madhavi",,,,,,LIT,2331,501,,8,9,2,1,,2,,,,,,1,,,,,,0,mxb128930,madhavi biswas,Masterpieces of World Literature 
"Cotter, Sean J",,,,,,LIT,3312,001,,6,1,4,3,2,4,4,,,,,3,,,,,,1,sjc010100,sean cotter,Studies in Prose Narrative 
"Brewer, Kenneth L",,,,,,LIT,3321,501,2,15,6,5,6,3,2,,1,,,,2,,,,,,1,klb092000,kenneth brewer,Modern British Literature 
"Starnaman, Sabrina",,,,,,LIT,3323,501,2,4,2,7,1,4,,1,,,1,,1,,,,,,1,sxs090100,sabrina starnaman,The American Renaissance 1820-1865 
"Starnaman, Sabrina",,,,,,LIT,3329,001,9,7,1,6,2,3,1,,1,,,,,,,,,,2,sxs090100,sabrina starnaman,Ethnic American Literature 
"Ozsvath, Zsuzsanna",,,,,,LIT,3343,501,1,5,7,7,3,2,1,1,,,,,2,,,,,,1,zozsvath,zsuzsanna ozsvath,European Romanticism 
"Palant, Jonathan",,,,,,MUSI,2127,001,,18,,,,,,,,,,,,,,,,,0,jxp170230,jonathan palant,University Choir 
"Parsoneault, Catherine",,,,,,MUSI,2317,003,5,4,2,,1,3,,1,1,1,1,,1,,,,,,0,cxp160030,catherine parsoneault,Piano I 
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,501,4,1,5,9,8,11,5,5,5,2,2,3,5,,,,,,4,laa062000,lawrence amato,Introduction to Philosophy 
"Amato, Lawrence A",,,,,,PHIL,2316,501,4,8,9,3,8,3,1,1,,,,,3,,,,,,2,laa062000,lawrence amato,History of Philosophy I 
"Camacho-Guardado, Lorena",,,,,,SPAN,4364,001,10,4,3,,,,,,,,,,,,,,,,0,lxc163230,amalia lorena camacho guardardo,Advanced Spanish Culture 
"Noland, Jeff",,,,,,FIN,3395,501,,5,3,4,2,4,,,,,,,,,,,,,0,jxn125330,jeff noland,Financial Modeling and Valuation 
"Gafford, Jerome M",,,,,,MKT,3330,502,9,5,5,2,1,3,,,,,,,1,,,,,,2,jmg171130,jerome gafford,Introduction to Professional Selling 
"Golden, Richard",,,,,,ACN,6349,5H1,,9,6,,,,,,,,,,,,,,,,0,golden,richard golden,Intelligent Systems Design 
"Kelly, Mary Lena U",,,,,,SCI,5326,501,,4,,,1,,,,,,,,1,,,,,,0,mlk023000,mary urquhart,Astronomy  Our Place in Space 
"Amirpour, Semiramis",,,,,,MKT,3330,006,15,5,1,1,3,1,,,,,,1,1,,,,,,1,sxa130731,semiramis amirpour,Introduction to Professional Selling 
"Henslee, Austin","Mohan, Karthik",,,,,MIS,6346,501,,8,9,8,6,2,,,,,,,,,,,,,0,axh134230,austin henslee,Big Data Analytics 
